"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"p1[149]",0.228985088805125,0.226192,0.0495810662904295,0.049429009266,0.154147143,0.315563008,1.0003269013066,14221.8637704774,13269.9631454082
"p1[150]",0.120637753640063,0.118335125,0.0292511137118151,0.0287134956675,0.0764471616,0.172619273,1.00010551079472,14515.1284124377,14351.0887276982
"p1[151]",0.0333947159938625,0.0313918625,0.0137391649388493,0.0129668069979,0.01487241535,0.0589916391,1.00038197642463,13957.224867037,12863.9240022273
"p1[152]",0.0814134721220875,0.0748903405,0.0384497386365443,0.0363556922841,0.03130532535,0.154320569,0.999878235294535,13997.5540510697,12965.1702019639
"p1[153]",0.07555881189825,0.073427416,0.0221392076684556,0.0218866652991,0.04341943865,0.115466741,1.00040116642782,14282.4953990587,12653.4823902196
"p1[154]",0.39782192619,0.395072345,0.0766689724384589,0.077881178151,0.275986663,0.5287802345,1.00008187600066,17080.7155910298,14341.4942619618
"p1[155]",0.182506210798375,0.17937147,0.0452439318341099,0.044526814605,0.114768387,0.262564186,1.00012893266214,15158.3070321725,13418.7543017256
"p1[156]",0.0471455336710438,0.042630528,0.0241734896358339,0.0216907434156,0.01668523445,0.09265419535,1.00022234809611,12761.3110706092,11719.3163787332
"p1[157]",0.0124672863082625,0.0098240281,0.00978270978628853,0.00728040611529,0.00235373326,0.03149248305,0.999920604066344,14551.6714890163,13999.7023013767
"p1[158]",0.289801905038125,0.2871422,0.0575189865738481,0.057627446268,0.2020259515,0.3893224415,1.0002959936369,14931.0414207649,14044.5417087385
"p1[159]",0.10442970409825,0.10136582,0.0318028880819859,0.030585556155,0.05782500985,0.1611589025,1.00024604364567,16230.2070186811,13778.4051969367
"p1[160]",0.05618680807805,0.0510668995,0.0283615599471671,0.0258182091531,0.01993060615,0.109977191,1.00018282061925,12689.8301298647,13698.5954970761
"p1[161]",0.0630921596075,0.0615432805,0.0178120090953982,0.0173509990101,0.03682771445,0.095130134,1.00016402724735,13964.9383427267,12426.4931681301
